类型,代码,名称
A股ETF,159338,中证A500ETF
A股ETF,510050,上证50ETF
A股ETF,510300,沪深300ETF
A股ETF,510500,中证500ETF
A股ETF,510880,红利ETF
A股ETF,511260,十年国债ETF
A股ETF,512480,半导体ETF
A股ETF,512890,红利低波ETF
A股ETF,513050,中概互联网ETF
A股ETF,513100,国泰纳指ETF
A股ETF,513300,华夏纳斯达克ETF
A股ETF,513500,标普500ETF
A股ETF,513820,港股红利ETF
A股ETF,513950,恒生红利ETF
A股ETF,513130,恒生科技ETF
A股ETF,516000,数据ETF
A股ETF,516010,游戏ETF
A股ETF,518880,黄金ETF
A股ETF,560350,中证A50ETF
A股ETF,588000,科创50ETF
A股,600036,招商银行
A股,600900,长江电力
A股,601127,赛力斯
A股,300750,宁德时代
A股,000333,美的集团
港股,00700,腾讯控股
港股,01810,小米集团-W
港股,03690,美团-W
港股,09992,泡泡玛特
港股,07226,南方两倍做多恒科
港股,07552,南方两倍做空恒科
美股,UPRO,ProShares UltraPro S&P500
美股,SPXU,ProShares UltraPro Short S&P500
美股,TQQQ,ProShares UltraPro QQQ
美股,SQQQ,ProShares UltraPro Short QQQ
美股,YINN,Direxion Daily FTSE China Bull 3X Shares
美股,YANG,Direxion Daily FTSE China Bear 3X Shares
美股,VIXY,ProShares VIX Short-Term Futures ETF
美股,YMAG,YieldMax Magnificent 7 Fund of Option Income ETFs
